title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Life Itself,"$4,102,648","$7,997,774",Amazon Studios,"$2,123,463","2,609",N/A,R,"Drama,Romance",105
Ya veremos,"$4,165,949","$14,134,723",Pantelion Films,"$1,803,848",369,N/A,PG-13,Drama,123
Burn the Stage: The Movie,"$4,201,819","$20,347,513",Trafalgar Releasing,"$2,420,197",629,N/A,N/A,"Documentary,Music",50
Pagalpanti,"$423,340","$5,633,633",Eros International,"$227,714",116,N/A,N/A,"Action,Comedy",81
Blindspotting,"$4,333,394","$5,006,989",Lionsgate,"$338,999",14,N/A,R,"Comedy,Crime,Drama",165
Gotti,"$4,343,227","$6,412,349",Vertical Entertainment,"$1,719,902",503,N/A,R,"Biography,Crime,Drama",200
Johnny English Strikes Again,"$4,412,170","$158,970,776",Universal Pictures,"$1,638,895",544,"$25,000,000",PG,"Action,Adventure,Comedy",70
Father Figures,"$17,501,244","$25,601,244",Warner Bros.,"$3,287,451","2,902",N/A,R,"Comedy,Drama",375
Samson,"$4,719,928","$4,873,825",Pure Flix Entertainment,"$1,942,569","1,249",N/A,PG-13,"Action,Drama",319
Gringo,"$4,969,853","$11,001,627",STX Entertainment,"$2,722,420","2,404",N/A,R,"Action,Comedy,Crime,Drama",298
Beirut,"$5,019,226","$7,509,436",Bleecker Street Media,"$1,734,497",755,N/A,R,"Drama,Thriller",265
Action Point,"$5,059,608","$5,103,663",Paramount Pictures,"$2,390,164","2,032","$19,000,000",R,Comedy,214
Colette,"$5,137,622","$14,273,033",Bleecker Street Media,"$161,179",4,N/A,R,"Biography,Drama,History",105
Kin,"$5,718,096","$10,313,019",Lionsgate,"$3,035,618","2,141",N/A,PG-13,"Action,Crime,Drama,Sci-Fi,Thriller",123
God's Not Dead: A Light in Darkness,"$5,728,940","$7,414,178",Pure Flix Entertainment,"$2,689,677","1,693",N/A,PG,Drama,277
My Hero Academia: Two Heroes,"$5,754,556","$21,022,724",FUNimation Entertainment,"$1,388,499",508,N/A,PG-13,"Action,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",98
Pandas,"$7,574,012","$7,635,778",Warner Bros.,"$158,915",33,N/A,G,Documentary,676
Death of a Nation,"$5,885,881","$5,885,881",Quality Flix,"$2,356,522","1,005","$6,000,000",PG-13,"Documentary,History",151
Once Upon a Deadpool,"$6,100,309","$51,247,568",Twentieth Century Fox,"$2,683,200","1,566","$110,000,000",R,"Action,Adventure,Comedy,Sci-Fi",385
Leave No Trace,"$6,046,104","$7,682,928",Bleecker Street Media,"$219,140",9,N/A,PG,Drama,186
Every Day,"$6,102,076","$10,421,847",Orion Pictures,"$3,016,149","1,667","$4,900,000",PG-13,"Drama,Fantasy,Romance",312
The Hurricane Heist,"$6,115,825","$32,517,248",Entertainment Studios Motion Pictures,"$3,024,399","2,402","$35,000,000",PG-13,"Action,Adventure,Crime,Thriller",298
Le Trou,"$34,588","$34,588",Rialto Pictures,"$6,756",1,N/A,N/A,"Crime,Drama,Thriller",187
Rat Film,"$35,195","$35,195",The Cinema Guild,"$7,793",2,N/A,N/A,Documentary,473
Growing Up Smith,"$35,312","$35,312",Good Deed Entertainment,"$14,867",5,N/A,PG-13,"Comedy,Drama,Family",332
The Edge of Seventeen,"$14,431,633","$19,370,020",STX Entertainment,"$4,754,215","1,945","$9,000,000",R,"Comedy,Drama",409
The Commune,"$38,737","$4,410,339",Magnolia Pictures,"$9,249",7,N/A,N/A,Drama,227
School Life,"$37,381","$86,616",Magnolia Pictures,"$2,332",1,N/A,PG-13,Documentary,115
Maurice,"$45,926","$45,926",Cohen Media Group,"$6,972",1,N/A,N/A,"Drama,Romance",227
Heart Blackened,"$37,047","$3,593,480",CJ Entertainment,N/A,N/A,N/A,N/A,"Crime,Drama",56
78/52: Hitchcock's Shower Scene,"$37,664","$46,838",IFC Films,"$3,738",1,N/A,N/A,Documentary,84
A Woman's Life,"$37,626","$895,944",Kino Lorber,"$11,483",2,N/A,N/A,Drama,241
Sophie and the Rising Sun,"$34,630","$34,630",Monterey Media,N/A,N/A,N/A,R,Drama,346
Woodshock,"$42,603","$43,682",A24,"$12,247",3,N/A,R,"Drama,Thriller",101
Hermia & Helena,"$43,152","$44,156",Kino Lorber,"$12,986",2,N/A,N/A,"Comedy,Drama",220
Karl Marx City,"$41,072","$41,072",Bond/360,N/A,N/A,N/A,N/A,Documentary,278
One Week and a Day,"$41,614","$152,178",Oscilloscope,"$6,833",3,N/A,N/A,"Comedy,Drama",248
Unrest,"$40,081","$40,081",Independent,"$10,607",1,N/A,N/A,"Documentary,Drama,History,Romance",101
The Settlers,"$41,562","$41,562",Matson Films,N/A,N/A,N/A,N/A,Documentary,304
Seasons,"$150,092","$11,425,100",Music Box Films,"$27,134",13,N/A,PG,Documentary,402
I Am the Blues,"$37,849","$37,849",Film Movement,"$5,105",4,N/A,N/A,"Documentary,History,Music",173
The Death of Louis XIV,"$43,635","$209,715",The Cinema Guild,"$8,002",1,N/A,N/A,"Biography,Drama,History",276
Just One Drop,"$60,078","$60,078",GathrFilms,N/A,N/A,N/A,N/A,Documentary,466
Friendsgiving Day #2,"$198,869","$198,869",Fathom Events,N/A,N/A,N/A,N/A,N/A,78
Bluebeard,"$43,144","$8,855,737",Well Go USA Entertainment,"$21,234",14,N/A,N/A,Thriller,290
"Léon Morin, Priest","$44,511","$44,511",Rialto Pictures,"$11,462",1,N/A,N/A,"Drama,Romance,War",234
A Beautiful Planet,"$15,633,681","$25,681,505",IMAX,"$223,983",137,N/A,N/A,Documentary,"1,383"
Blink of an Eye,"$201,874","$201,874",Fathom Events,N/A,N/A,N/A,N/A,Documentary,152
Forrest Gump,"$203,088","$203,088",Fathom Events,"$114,767",560,"$55,000,000",PG-13,"Drama,Romance",233
Venom,"$213,515,506","$856,085,151",Sony Pictures Releasing,"$80,255,756","4,250","$100,000,000",PG-13,"Action,Sci-Fi,Thriller",453
Bolshoi Ballet: Carmen Suite/Petrushka,"$207,523","$510,628",Fathom Events,"$207,523",362,N/A,N/A,N/A,268
Play the Flute,"$226,554","$226,554",Five & Two Pictures,N/A,N/A,N/A,N/A,Drama,379
Chasing the Dragon II: Wild Wild Bunch,"$196,634","$45,733,356",Well Go USA Entertainment,"$60,971",16,N/A,Not Rated,"Action,Biography,Crime,Thriller",249
Family,"$194,601","$194,601",The Film Arcade,"$19,586",3,N/A,R,Comedy,298
Hamlet,"$214,578","$214,578",Fathom Events,N/A,N/A,N/A,N/A,Drama,218
The Possession of Hannah Grace,"$14,837,422","$43,016,528",Screen Gems,"$6,401,744","2,065","$7,700,000",R,"Horror,Mystery,Thriller",438
"Faith, Hope & Love","$210,091","$210,091",ArtAffects Entertainment,"$55,403",18,N/A,PG,"Comedy,Romance",333
The Iron Orchard,"$204,881","$204,881",Santa Rita Film Co,"$45,863",8,N/A,R,"Drama,History,Romance",354
Dabangg 3,"$202,000","$14,784,628",Yash Raj Films,N/A,N/A,N/A,N/A,"Action,Comedy",53
Hesburgh,"$204,709","$204,709",Music Box Films,"$17,009",2,N/A,Not Rated,Documentary,291
Never Surrender: A Galaxy Quest Documentary,"$222,971","$222,971",Fathom Events,N/A,N/A,N/A,N/A,Documentary,77
Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858","$223,858",Fathom Events,"$223,858",194,N/A,N/A,Sport,206
Kathy Griffin: A Hell of a Story,"$208,907","$208,907",Fathom Events,N/A,N/A,N/A,N/A,Documentary,195
Master Z: The Ip Man Legacy,"$209,454","$21,832,649",Well Go USA Entertainment,"$92,663",61,N/A,Not Rated,"Action,Biography,Crime,Drama",305
Fahrenheit 11/9,"$6,352,306","$6,674,168",Briarcliff Entertainment,"$3,008,563","1,719",N/A,R,Documentary,102
A-X-L,"$6,501,381","$8,467,697",Global Road Entertainment,"$2,798,229","1,710",N/A,PG,"Action,Adventure,Family,Sci-Fi,Thriller",130
Unbroken: Path to Redemption,"$6,216,897","$6,216,897",Pure Flix Entertainment,"$2,238,723","1,620",N/A,PG-13,"Biography,Drama,History",112
The Karate Kid,"$215,447","$215,447",Fathom Events,"$140,623",588,N/A,N/A,"Action,Drama,Family,Sport",317
Hotel Artemis,"$6,708,147","$13,313,581",Global Road Entertainment,"$3,232,790","2,407",N/A,R,"Action,Crime,Drama,Sci-Fi,Thriller",207
First Love,"$218,329","$318,385",Well Go USA Entertainment,"$21,151",2,N/A,N/A,"Comedy,Crime,Romance",137
Boy Erased,"$6,788,692","$11,853,081",Focus Features,"$207,057",5,N/A,R,"Biography,Drama",425
"The Gangster, the Cop, the Devil","$216,494","$25,775,371",Well Go USA Entertainment,"$78,655",21,N/A,Not Rated,"Action,Crime,Drama,Thriller",249
Downsizing,"$24,449,754","$55,003,890",Paramount Pictures,"$4,954,287","2,668","$68,000,000",R,"Drama,Sci-Fi",375
Mine 9,"$226,421","$226,421",Emphatic Cinema/Levey,"$68,921",23,N/A,Not Rated,Drama,305
Dog Days,"$6,809,080","$6,819,044",LD Entertainment,"$2,554,766","2,442",N/A,PG,"Comedy,Drama,Romance",146
Mid90s,"$7,362,439","$9,303,022",A24,"$258,157",4,N/A,R,"Comedy,Drama",77
Can You Ever Forgive Me?,"$8,803,865","$12,442,161",Fox Searchlight Pictures,"$161,510",5,N/A,R,"Biography,Comedy,Crime,Drama",480
Unsane,"$7,732,899","$14,293,601",Bleecker Street Media,"$3,762,145","2,023",N/A,R,"Drama,Horror,Mystery,Thriller",284
Sanju,"$7,909,317","$76,693,052",FIP,"$2,723,349",356,N/A,N/A,"Biography,Drama",186
Beautiful Boy,"$7,649,973","$16,636,604",Amazon Studios,"$218,888",4,N/A,R,"Biography,Drama",446
They Shall Not Grow Old,"$17,956,913","$19,130,011",Warner Bros.,N/A,N/A,N/A,R,"Documentary,History,War",421
Welcome to Marwen,"$10,763,520","$13,061,491",Universal Pictures,"$2,354,205","1,911",N/A,PG-13,"Biography,Comedy,Drama,Fantasy,Romance",376
Unfriended: Dark Web,"$8,866,745","$16,024,987",BH Tilt,"$3,653,035","1,546","$1,000,000",R,"Horror,Mystery,Thriller",165
Tully,"$9,369,755","$15,636,462",Focus Features,"$3,282,610","1,353",N/A,R,"Comedy,Drama,Mystery",242
Under the Sea 3D,"$36,248,707","$55,886,237",Warner Bros.,"$661,185",49,N/A,N/A,"Documentary,Short","4,015"
Traffik,"$9,186,156","$9,515,914",Lionsgate,"$3,941,338","1,046",N/A,R,"Action,Crime,Drama,Thriller",256
Midnight Sun,"$9,561,064","$27,365,467",Global Road Entertainment,"$4,003,993","2,173",N/A,PG-13,"Drama,Romance",284
Panique,"$46,041","$46,041",Rialto Pictures,"$7,062",1,N/A,N/A,"Crime,Drama",346
The Death of Stalin,"$8,047,856","$24,646,055",IFC Films,"$184,805",4,N/A,R,"Comedy,Drama,History",298
Saving Banksy,"$47,965","$47,965",Parade Deck Films,"$1,317",1,N/A,N/A,Documentary,353
The Wife,"$9,601,092","$19,978,189",Sony Pictures Classics,"$108,284",4,N/A,R,Drama,543
Tampopo,"$224,097","$224,097",Janus Films,"$16,410",1,N/A,N/A,Comedy,437
Napping Princess,"$48,198","$1,156,847",GKIDS,"$10,865",14,N/A,N/A,"Adventure,Animation,Drama,Family,Fantasy,Sci-Fi",115
Early Man,"$8,267,544","$54,622,814",Lionsgate,"$3,190,525","2,494",N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Sport",319
The Force,"$59,912","$59,912",Kino Lorber,N/A,N/A,N/A,N/A,Documentary,175
My Journey Through French Cinema,"$52,214","$71,174",Cohen Media Group,"$10,636",3,N/A,N/A,Documentary,192
The Paris Opera,"$55,482","$781,039",Film Movement,"$7,709",4,N/A,N/A,Documentary,440
Twenty Two,"$46,796","$55,001",China Lion Film Distribution,"$22,222",11,N/A,N/A,"Crime,Documentary,History,War",115
DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703","$230,703",Fathom Events,"$230,703",426,N/A,N/A,Sport,283
So B. It,"$47,627","$47,627",Good Deed Entertainment,"$7,455",2,N/A,PG-13,Drama,91
From the Land of the Moon,"$47,748","$6,524,799",IFC Films,"$4,473",2,N/A,R,"Drama,Romance",157
Extraordinary Mission,"$54,174","$22,757,764",Crimson Forest,"$28,649",20,"$23,000,000",N/A,"Action,Crime",269
Person to Person,"$48,499","$48,499",Magnolia Pictures,"$11,852",3,N/A,N/A,"Comedy,Drama",157
The Ornithologist,"$50,511","$74,714",Strand Releasing,"$6,132",2,N/A,N/A,"Adventure,Drama,Mystery",192
Tickling Giants,"$51,499","$51,499",Sarkasmos Productions LLC,"$8,159",1,N/A,N/A,Documentary,290
I Called Him Morgan,"$128,986","$128,986",Submarine Deluxe,"$12,902",1,N/A,N/A,"Documentary,Drama,History,Music",283
American Woman,"$236,637","$245,416",Roadside Attractions,"$110,552",117,N/A,R,"Drama,Mystery",242
Beautiful Accident,"$51,766","$2,632,092",China Lion Film Distribution,"$25,801",15,N/A,N/A,"Comedy,Fantasy",213
Doctor Who: The End of Time: Part One,"$247,798","$247,798",Fathom Events,N/A,N/A,N/A,N/A,"Adventure,Drama,Family,Mystery,Sci-Fi",188
Friendsgiving Day #1,"$246,168","$246,168",Fathom Events,"$246,168",766,N/A,N/A,N/A,79
Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973","$232,973",Fathom Events,"$232,973",239,N/A,N/A,Sport,136
Canal Street,"$251,917","$251,917",Smith Global Media,"$108,259",73,N/A,PG-13,"Drama,Thriller",389
The Twilight Zone: A 60th Anniversary Celebration,"$248,514","$248,514",Fathom Events,N/A,N/A,N/A,N/A,"Drama,Fantasy,Horror",89
Romeo Akbar Walter,"$236,299","$688,719",Eros International,"$142,102",101,N/A,Not Rated,"Action,Drama,Thriller",312
Give Me Liberty,"$242,734","$624,152",Music Box Films,"$33,261",3,N/A,N/A,Comedy,172
Meeting Gorbachev,"$251,837","$318,996",1091 Media,"$18,128",2,N/A,Not Rated,"Biography,Documentary,History",284
When Harry Met Sally...,"$252,320","$252,320",Fathom Events,"$157,660",660,N/A,N/A,"Comedy,Drama,Romance",72
God of War,"$53,000","$9,559,524",Well Go USA Entertainment,"$23,912",27,N/A,N/A,"Action,History",213
Bolshoi Ballet: The Nutcracker,"$252,935","$1,049,798",Fathom Events,"$252,935",401,N/A,N/A,"Family,Fantasy,Musical",58
311 Enlarged to Show Detail 3,"$238,791","$238,791",Trafalgar Releasing,N/A,N/A,N/A,N/A,Music,337
63 Up,"$428,408","$428,408",BritBox,"$13,956",1,N/A,N/A,Documentary,76
Mobile Suit Gundam Narrative,"$259,224","$6,126,259",Fathom Events,N/A,N/A,N/A,N/A,"Action,Animation,Sci-Fi",357
Mary Queen of Scots,"$16,468,499","$46,710,283",Focus Features,"$194,777",4,N/A,R,"Biography,Drama,History",390
The Miracle Season,"$10,230,620","$10,230,620",Mirror/LD Entertainment,"$3,950,652","1,707",N/A,PG,"Drama,Sport",270
I Got the Hook Up 2,"$252,293","$252,293",Urban Movie Channel,"$149,036",37,N/A,N/A,Comedy,214
Padmaavat,"$11,846,060","$22,991,060",Viva Pictures Distribution,"$4,493,384",326,N/A,N/A,"Drama,History,Romance,War",341
The Old Man & the Gun,"$11,277,120","$17,860,397",Fox Searchlight Pictures,"$142,131",5,N/A,PG-13,"Biography,Comedy,Crime,Drama,Romance",460
Upgrade,"$11,977,130","$16,593,554",BH Tilt,"$4,670,905","1,457",N/A,R,"Action,Horror,Sci-Fi,Thriller",214
Hell Fest,"$11,107,431","$18,159,691",Lionsgate,"$5,130,963","2,297","$5,500,000",R,Horror,98
Lords of Chaos,"$253,184","$365,353",Gunpowder & Sky,"$27,649",4,N/A,R,"Biography,Drama,Horror,Music,Thriller",368
Wonder,"$132,422,809","$305,937,718",Lionsgate,"$27,547,866","3,096",N/A,PG,"Drama,Family",410
Three Identical Strangers,"$12,320,845","$13,448,497",Neon,"$171,503",5,N/A,PG-13,"Biography,Documentary,Drama,History,Mystery",186
Free Solo,"$17,541,090","$29,318,861",National Geographic Entertainment,"$294,288",4,N/A,PG-13,"Adventure,Documentary,Sport",501
Her Smell,"$255,599","$260,481",Gunpowder & Sky,"$36,941",3,N/A,R,"Drama,Music",305
Call Me by Your Name,"$18,095,701","$41,887,595",Sony Pictures Classics,"$412,932",4,N/A,R,"Drama,Romance",403
All the Money in the World,"$25,113,707","$56,996,304",TriStar Pictures,"$5,584,684","2,074",N/A,R,"Biography,Crime,Drama,Mystery,Thriller",372
The Darkest Minds,"$12,695,691","$41,142,379",Twentieth Century Fox,"$5,842,609","3,127","$34,000,000",PG-13,"Action,Adventure,Drama,Romance,Sci-Fi,Thriller",151
RBG,"$14,017,361","$14,441,292",Magnolia Pictures,"$578,470",34,N/A,PG,"Biography,Documentary",242
The Possession of Hannah Grace,"$14,837,422","$43,016,528",Screen Gems,"$6,401,744","2,065","$7,700,000",R,"Horror,Mystery,Thriller",438
Eighth Grade,"$13,539,709","$14,347,433",A24,"$263,797",4,N/A,R,"Comedy,Drama",172
The Girl in the Spider's Web,"$14,841,338","$35,164,920",Sony Pictures Releasing,"$7,810,112","2,929","$43,000,000",R,"Action,Crime,Drama,Thriller",56
Happy End,"$301,718","$2,610,794",Sony Pictures Classics,"$23,091",3,N/A,R,Drama,375
Tomorrow,"$62,510","$11,277,905",Under The Milky Way,"$1,480",1,N/A,N/A,Documentary,301
Worlds Apart,"$60,298","$5,011,560",Cinema Libre Studio,"$16,353",1,N/A,N/A,"Drama,Romance",353
The Boom,"$57,962","$57,962",Rialto Pictures,"$8,164",1,N/A,N/A,Comedy,203
Donald Cried,"$61,406","$61,406",The Orchard,"$7,977",2,N/A,N/A,"Comedy,Drama",304
The Teacher,"$64,437","$1,350,426",Film Movement,"$15,091",5,N/A,N/A,"Comedy,Drama",128
Fire at Sea,"$120,933","$1,178,377",Kino Lorber,N/A,N/A,N/A,N/A,Documentary,470
The Brand New Testament,"$127,910","$15,709,652",Music Box Films,"$10,422",6,N/A,N/A,"Comedy,Fantasy",388
Star Raiders: The Adventures of Saber Raine,"$260,234","$260,234",Fathom Events,N/A,N/A,N/A,N/A,"Adventure,Sci-Fi",250
Manolo: the Boy Who Made Shoes for Lizards,"$60,056","$64,889",Music Box Films,"$8,186",3,N/A,N/A,"Biography,Documentary,Drama",112
Bang! The Bert Berns Story,"$59,299","$59,299",Abramorama,"$3,923",1,N/A,N/A,"Documentary,History,Music",250
My Entire High School Sinking Into the Sea,"$68,883","$68,883",GKIDS,"$13,684",3,N/A,PG-13,"Animation,Comedy,Drama",262
Tragedy Girls,"$61,899","$122,211",Gunpowder & Sky,"$12,125",2,N/A,R,"Comedy,Crime,Horror",77
Modest Heroes,"$178,027","$178,027",Fathom Events,"$178,027",370,N/A,PG,"Adventure,Animation,Family,Fantasy",356
Smallfoot,"$83,240,103","$214,040,103",Warner Bros.,"$23,045,635","4,131",N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical",460
The Tiger Hunter,"$62,398","$62,398",Shout! Factory,N/A,N/A,N/A,N/A,Comedy,101
Out of Liberty,"$265,279","$265,279",Purdie Distribution,"$66,546",35,N/A,PG,"Drama,Western",151
The Love Witch,"$228,894","$246,218",Oscilloscope,"$17,980",6,N/A,N/A,"Comedy,Horror,Romance,Thriller",416
Luzia: Cirque du Soleil in Cinema,"$265,673","$265,673",Fathom Events,N/A,N/A,N/A,N/A,Musical,105
Architects of Denial,"$65,424","$65,424",Dada Films,"$58,472",11,N/A,N/A,Documentary,87
Alive and Kicking,"$68,485","$68,485",Magnolia Pictures,"$12,201",11,N/A,N/A,"Documentary,History,Music",269
To the Arctic 3D,"$14,559,702","$23,692,624",Warner Bros.,"$270,228",50,N/A,G,Documentary,"2,853"
Just Mercy,"$33,484,087","$41,884,087",Warner Bros.,"$107,858",4,N/A,PG-13,Drama,48
One Child Nation,"$270,128","$271,841",Amazon Studios,"$20,523",2,N/A,R,"Documentary,History",186
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$271,489","$338,632",Fathom Events,N/A,N/A,N/A,N/A,"Action,Adventure,Animation,Comedy,Fantasy,Romance",203
The Tale of The Princess Kaguya,"$271,681","$271,681",Fathom Events,N/A,N/A,N/A,PG,"Adventure,Animation,Drama,Family,Fantasy",57
True Grit,"$276,418","$276,418",Fathom Events,"$157,788",614,N/A,G,"Adventure,Drama,Western",282
I Want to Eat Your Pancreas,"$277,019","$33,748,006",Fathom Events,"$111,108",397,N/A,N/A,"Animation,Drama,Family,Romance",369
The Nutcracker and the Four Realms,"$54,858,851","$173,961,069",Walt Disney Studios Motion Pictures,"$20,352,491","3,766","$120,000,000",PG,"Adventure,Family,Fantasy",425
Octaman,"$280,710","$280,710",Fathom Events,N/A,N/A,N/A,N/A,"Horror,Sci-Fi",299
The Whistleblower,"$280,851","$7,505,141",CMC Pictures Holdings,"$150,481",133,N/A,N/A,Action,67
Slayer: The Repentless Killogy,"$268,727","$272,874",Trafalgar Releasing,N/A,N/A,N/A,N/A,Music,97
The Godfather: Part II,"$291,754","$291,754",Fathom Events,"$171,417",681,"$13,000,000",N/A,"Crime,Drama",93
Saga of Tanya the Evil - The Movie,"$288,460","$288,460",Fathom Events,N/A,N/A,N/A,Not Rated,"Action,Adventure,Animation,Fantasy,War",271
Freaks,"$276,591","$335,050",Well Go USA Entertainment,"$161,543",111,N/A,R,"Drama,Mystery,Sci-Fi,Thriller",151
Shakira in Concert: El Dorado World Tour,"$271,586","$294,677",Trafalgar Releasing,"$111,273",398,N/A,N/A,"Documentary,Music",90
The Bravest,"$290,217","$245,179,562",Sony Pictures Releasing,"$110,375",150,N/A,PG-13,"Action,Drama",186
Khalid: Free Spirit,"$284,229","$284,229",Trafalgar Releasing,N/A,N/A,N/A,N/A,Drama,314
Mike Wallace Is Here,"$281,245","$281,245",Magnolia Pictures,"$19,437",3,N/A,PG-13,"Biography,Documentary",200
Hunter Killer,"$15,767,460","$31,672,678",Lionsgate,"$6,653,777","2,728","$40,000,000",R,"Action,Thriller",70
Mortal Engines,"$15,951,040","$83,672,673",Universal Pictures,"$7,559,850","3,103",N/A,PG-13,"Action,Adventure,Fantasy,Sci-Fi,Thriller",383
Forever My Girl,"$16,376,066","$16,376,066",Roadside Attractions,"$4,245,630","1,114","$3,500,000",PG,"Drama,Music,Romance",347
Sorry to Bother You,"$17,493,096","$18,170,707",Annapurna Pictures,"$727,266",16,N/A,R,"Comedy,Fantasy,Sci-Fi",179
Stockholm,"$292,590","$692,514",Smith Global Media,N/A,N/A,N/A,R,"Biography,Comedy,Crime,Drama,History",305
Killerman,"$291,477","$614,366",Blue Fox Entertainment,"$153,799",322,N/A,R,"Action,Crime,Drama,Mystery,Thriller",165
The Favourite,"$34,366,783","$95,918,706",Fox Searchlight Pictures,"$422,410",4,N/A,R,"Biography,Comedy,Drama,History",445
Chappaquiddick,"$17,395,520","$18,263,470",Entertainment Studios Motion Pictures,"$5,765,854","1,560",N/A,PG-13,"Drama,History,Thriller",270
"Paul, Apostle of Christ","$17,560,475","$25,915,966",Affirm Films,"$5,172,585","1,473","$5,000,000",PG-13,"Adventure,Biography,Drama,History",284
Lady Bird,"$48,958,273","$78,965,611",A24,"$364,437",4,N/A,R,"Comedy,Drama",424
SuperFly,"$20,545,116","$20,780,685",Sony Pictures Releasing,"$6,870,740","2,220","$16,000,000",R,"Action,Crime,Thriller",202
Operation Finale,"$17,612,099","$17,612,099",Metro-Goldwyn-Mayer (MGM),"$6,022,758","1,818","$24,000,000",PG-13,"Biography,Drama,History,Thriller,War",128
Phantom Thread,"$21,198,205","$47,756,590",Focus Features,"$216,495",4,N/A,R,"Drama,Romance",372
Bad Times at the El Royale,"$17,839,115","$31,882,724",Twentieth Century Fox,"$7,132,647","2,808","$32,000,000",R,"Crime,Drama,Mystery,Thriller",84
Show Dogs,"$17,857,020","$39,156,854",Global Road Entertainment,"$6,023,972","3,212",N/A,PG,"Adventure,Comedy,Family",228
Vice,"$47,836,282","$76,073,488",Annapurna Pictures,"$7,768,371","2,442",N/A,R,"Biography,Comedy,Drama",413
Bad Santa 2,"$17,782,178","$24,079,268",Broad Green Pictures,"$6,176,680","2,920","$26,000,000",R,"Comedy,Crime,Drama",404
The Happytime Murders,"$20,706,452","$27,506,452",STX Entertainment,"$9,532,425","3,256","$40,000,000",R,"Action,Comedy,Crime,Mystery,Thriller",130
Proud Mary,"$20,877,013","$21,753,365",Screen Gems,"$9,959,053","2,125","$14,000,000",R,"Action,Crime,Drama,Thriller",354
Holmes & Watson,"$30,573,626","$40,466,970",Sony Pictures Releasing,"$7,411,522","2,776","$42,000,000",PG-13,"Comedy,Crime,Mystery",413
Overlord,"$21,704,844","$41,657,844",Paramount Pictures,"$10,202,108","2,859","$38,000,000",R,"Action,Adventure,Horror,Mystery,Sci-Fi,War",56
Turn It Around: The Story of East Bay Punk,"$69,787","$69,787",Abramorama,"$5,211",1,N/A,N/A,"Documentary,History,Music",157
The Wasted Times,"$386,540","$18,345,372",China Lion Film Distribution,"$95,514",20,N/A,N/A,Drama,381
Ocean Waves,"$87,738","$87,738",GKIDS,"$4,942",1,N/A,PG-13,"Animation,Drama,Romance",369
The Nile Hilton Incident,"$81,089","$3,979,536",Strand Releasing,"$8,183",2,N/A,N/A,"Crime,Drama,Mystery,Thriller",147
Earth: One Amazing Day,"$81,345","$12,851,540",BBC Worldwide North America,"$45,480",70,N/A,G,"Documentary,Family",87
Te Ata,"$73,236","$73,236",Paladin,"$28,640",14,N/A,PG,"Biography,Drama,History",94
Buster's Mal Heart,"$73,121","$73,121",Well Go USA Entertainment,"$7,137",1,N/A,N/A,"Drama,Mystery,Thriller",248
Millennium Actress,"$225,250","$225,250",Fathom Events,N/A,N/A,N/A,PG,"Animation,Drama,Fantasy,Romance",182
Photograph,"$344,534","$1,019,196",Amazon Studios,"$35,796",13,N/A,PG-13,"Drama,Romance",270
Warriors of the Dawn,"$84,532","$5,497,176",FIP,"$41,959",32,N/A,N/A,"Adventure,Drama,History,War",199
Diane,"$336,166","$336,166",IFC Films,"$24,467",3,N/A,Not Rated,Drama,319
Pop Aye,"$77,976","$204,464",Kino Lorber,"$3,598",1,N/A,N/A,Drama,187
Hostiles,"$29,819,114","$35,669,017",Entertainment Studios Motion Pictures,"$22,849",3,N/A,R,"Drama,Western",375
Stefan Zweig: Farewell to Europe,"$78,372","$683,063",First Run,"$11,729",1,N/A,N/A,"Biography,Drama,History",234
Harold and Lillian: A Hollywood Love Story,"$78,301","$78,301",Zeitgeist Films,"$3,510",2,N/A,N/A,"Biography,Documentary",248
Won't You Be My Neighbor?,"$22,835,787","$22,842,400",Focus Features,"$475,419",29,N/A,PG-13,"Biography,Documentary",207
Second Act,"$39,282,227","$72,282,227",STX Entertainment,"$6,489,983","2,607","$16,000,000",PG-13,"Comedy,Drama,Romance",417
Molly's Game,"$28,780,744","$59,284,015",STX Entertainment,"$2,349,967",271,N/A,R,"Biography,Crime,Drama",372
Chapter & Verse,"$84,147","$84,147",Paladin,"$31,331",1,N/A,R,Drama,332
White Boy Rick,"$24,011,188","$25,957,482",Studio 8,"$8,860,431","2,504","$29,000,000",R,"Crime,Drama",112
Winchester,"$25,091,816","$44,019,588",Lionsgate,"$9,307,626","2,480",N/A,PG-13,"Biography,Drama,Fantasy,Horror,Mystery,Thriller",333
The Strangers: Prey at Night,"$24,586,708","$31,039,126",Aviron Pictures,"$10,402,271","2,464",N/A,R,Horror,298
Searching,"$26,020,957","$75,462,037",Screen Gems,"$388,769",9,N/A,PG-13,"Drama,Mystery,Thriller",133
"I, Tonya","$30,014,539","$53,939,297",Neon,"$264,155",4,N/A,R,"Biography,Comedy,Drama,Sport",389
